,State,Name of reporting district,ALL_MTH00numvalid,ALL_MTH00pctprof,Year,ALL_RLA00numvalid,ALL_RLA00pctprof
11239,ohio,marion local,494,95,2008,494,94
11240,ohio,wooster city,1880,81,2008,1880,83
11241,ohio,northwestern local,761,87,2008,762,87
11242,oklahoma,timberlake,129,45-49,2008,123,45-49
11243,oklahoma,burns flat-dill city,306,58,2008,310,57
11244,oklahoma,thomas-fay-custer unified dist,263,76,2008,247,71
11245,oklahoma,frontier,178,55-59,2008,179,55-59
11246,oklahoma,oklahoma union,383,61,2008,366,65
11247,oklahoma,hydro-eakly,231,66,2008,233,61
11248,oklahoma,keys,404,65,2008,411,73
11249,oklahoma,oklahoma school for the deaf,9,,2008,9,
11250,oklahoma,parkview-ok. sch for the blind,12,,2008,15,
11251,oklahoma,boley,17,40-59,2008,17,21-39
11252,oklahoma,deborah brown (charter),53,60-69,2008,53,60-69
11253,oklahoma,achille,201,57,2008,192,55-59
11254,oklahoma,ada,1245,66,2008,1237,68
11255,oklahoma,adair,510,71,2008,516,72
11256,oklahoma,afton,229,52,2008,233,59
11257,oklahoma,agra,214,74,2008,205,74
11258,oklahoma,albion,60,60-69,2008,59,40-49
11259,oklahoma,alex,175,50-54,2008,179,60-64
11260,oklahoma,aline-cleo,63,65-69,2008,69,55-59
11261,oklahoma,allen,209,61,2008,204,61
11262,oklahoma,allen-bowden,190,45-49,2008,190,50-54
11263,oklahoma,altus,1910,71,2008,1913,70
11264,oklahoma,alva,432,71,2008,436,67
11265,oklahoma,amber-pocasset,224,73,2008,208,80
11266,oklahoma,anadarko,975,44,2008,966,53
11267,oklahoma,anderson,147,60-64,2008,147,55-59
11268,oklahoma,antlers,493,65,2008,497,61
11269,oklahoma,arapaho-butler,165,85-89,2008,159,70-74
11270,oklahoma,ardmore,1496,56,2008,1415,60
11271,oklahoma,arkoma,153,60-64,2008,153,55-59
11272,oklahoma,arnett,90,70-74,2008,89,70-74
11273,oklahoma,asher,117,50-54,2008,109,55-59
11274,oklahoma,atoka,435,60,2008,416,62
11275,oklahoma,avant,57,50-59,2008,57,50-59
11276,oklahoma,balko,66,70-74,2008,70,65-69
11277,oklahoma,banner,102,70-74,2008,102,80-84
11278,oklahoma,barnsdall,210,68,2008,215,71
11279,oklahoma,bartlesville,2849,80,2008,2861,77
11280,oklahoma,battiest,118,75-79,2008,123,55-59
11281,oklahoma,bearden,67,60-64,2008,67,70-74
11282,oklahoma,beaver,187,65-69,2008,184,60-64
11283,oklahoma,beggs,620,59,2008,602,57
11284,oklahoma,belfonte,63,50-54,2008,61,65-69
11285,oklahoma,bell,54,60-69,2008,56,30-39
11286,oklahoma,bennington,123,50-54,2008,126,50-54
11287,oklahoma,berryhill,575,74,2008,603,79
11288,oklahoma,bethany,811,84,2008,778,83
11289,oklahoma,bethel,709,72,2008,708,69
11290,oklahoma,big pasture,122,80-84,2008,121,75-79
11291,oklahoma,billings,41,40-49,2008,41,40-49
11292,oklahoma,bishop,180,80-84,2008,180,85-89
11293,oklahoma,bixby,2426,76,2008,2423,73
11294,oklahoma,blackwell,771,80,2008,779,73
11295,oklahoma,blair,138,65-69,2008,136,55-59
11296,oklahoma,blanchard,784,66,2008,780,76
11297,oklahoma,bluejacket,99,55-59,2008,100,55-59
11298,oklahoma,boise city,157,70-74,2008,141,65-69
11299,oklahoma,bokoshe,104,35-39,2008,105,45-49
11300,oklahoma,boone-apache,280,64,2008,292,63
11301,oklahoma,boswell,150,60-64,2008,160,60-64
11302,oklahoma,bowlegs,161,50-54,2008,159,50-54
11303,oklahoma,bowring,43,60-69,2008,43,50-59
11304,oklahoma,boynton-moton,40,40-49,2008,43,30-39
11305,oklahoma,braggs,107,35-39,2008,104,40-44
11306,oklahoma,braman,41,50-59,2008,39,50-59
11307,oklahoma,bray-doyle,230,60,2008,213,68
11308,oklahoma,bridge creek,703,73,2008,684,73
11309,oklahoma,briggs,300,62,2008,283,58
11310,oklahoma,bristow,865,64,2008,877,73
11311,oklahoma,broken arrow,8514,75,2008,8406,75
11312,oklahoma,broken bow,873,56,2008,847,59
11313,oklahoma,brushy,168,75-79,2008,168,60-64
11314,oklahoma,buffalo,137,45-49,2008,135,40-44
11315,oklahoma,buffalo valley,110,55-59,2008,107,55-59
11316,oklahoma,burlington,68,65-69,2008,71,70-74
11317,oklahoma,butner,115,30-34,2008,115,35-39
11318,oklahoma,byars,32,19-Nov,2008,31,30-39
11319,oklahoma,byng,832,66,2008,825,68
11320,oklahoma,cache,824,60,2008,862,67
11321,oklahoma,caddo,224,68,2008,232,63
11322,oklahoma,calera,319,57,2008,324,55
11323,oklahoma,calumet,142,65-69,2008,142,65-69
11324,oklahoma,calvin,80,55-59,2008,87,60-64
11325,oklahoma,cameron,192,45-49,2008,184,50-54
11326,oklahoma,canadian,223,70,2008,215,67
11327,oklahoma,caney,128,40-44,2008,124,35-39
11328,oklahoma,canton,181,50-54,2008,187,55-59
11329,oklahoma,canute,167,65-69,2008,178,60-64
11330,oklahoma,carnegie,297,62,2008,279,53
11331,oklahoma,carney,114,55-59,2008,116,55-59
11332,oklahoma,cashion,250,66,2008,261,72
11333,oklahoma,okemah,469,48,2008,464,48
11334,oklahoma,catoosa,1118,55,2008,1117,60
11335,oklahoma,cave springs,79,85-89,2008,71,85-89
11336,oklahoma,cement,137,55-59,2008,137,60-64
11337,oklahoma,central,235,65,2008,230,70
11338,oklahoma,central high,230,60,2008,227,75
11339,oklahoma,chandler,566,70,2008,537,68
11340,oklahoma,chattanooga,161,65-69,2008,153,60-64
11341,oklahoma,checotah,778,66,2008,752,63
11342,oklahoma,chelsea,526,46,2008,526,57
11343,oklahoma,cherokee,135,55-59,2008,132,60-64
11344,oklahoma,cheyenne,136,80-84,2008,141,85-89
11345,oklahoma,chickasha,1215,66,2008,1221,65
11346,oklahoma,choctaw/nicoma park,2445,69,2008,2519,71
11347,oklahoma,chouteau-mazie,425,58,2008,436,61
11348,oklahoma,cimarron,136,45-49,2008,137,55-59
11349,oklahoma,claremore,2108,73,2008,2108,74
11350,oklahoma,clayton,132,40-44,2008,132,45-49
11351,oklahoma,cleora,82,70-74,2008,82,70-74
11352,oklahoma,cleveland,908,56,2008,883,59
11353,oklahoma,clinton,1016,60,2008,983,60
11354,oklahoma,coalgate,370,51,2008,373,61
11355,oklahoma,colbert,391,69,2008,373,64
11356,oklahoma,colcord,321,53,2008,318,63
11357,oklahoma,coleman,108,60-64,2008,102,55-59
11358,oklahoma,collinsville,1272,73,2008,1248,69
11359,oklahoma,comanche,548,53,2008,549,64
11360,oklahoma,commerce,436,53,2008,452,52
11361,oklahoma,copan,129,60-64,2008,122,60-64
11362,oklahoma,cordell,357,65,2008,359,69
11363,oklahoma,cottonwood,117,70-74,2008,110,75-79
11364,oklahoma,covington-douglas,143,55-59,2008,132,60-64
11365,oklahoma,coweta,1739,65,2008,1671,66
11366,oklahoma,coyle,194,45-49,2008,196,55-59
11367,oklahoma,crescent,286,68,2008,304,66
11368,oklahoma,crooked oak,518,42,2008,492,43
11369,oklahoma,crowder,235,62,2008,238,56
11370,oklahoma,crutcho,155,25-29,2008,155,30-34
11371,oklahoma,cushing,866,54,2008,882,59
11372,oklahoma,cyril,183,65-69,2008,182,60-64
11373,oklahoma,dahlonegah,63,65-69,2008,63,40-44
11374,oklahoma,dale,365,69,2008,363,75
11375,oklahoma,darlington,126,60-64,2008,126,45-49
11376,oklahoma,davenport,199,55-59,2008,197,50-54
11377,oklahoma,davidson,59,60-69,2008,57,50-59
11378,oklahoma,davis,457,61,2008,459,66
11379,oklahoma,deer creek,1932,88,2008,1850,87
11380,oklahoma,denison,156,75-79,2008,154,65-69
11381,oklahoma,depew,181,45-49,2008,190,40-44
11382,oklahoma,dewar,237,48,2008,226,50
11383,oklahoma,dewey,589,64,2008,596,65
11384,oklahoma,dibble,374,64,2008,379,59
11385,oklahoma,dickson,613,76,2008,627,75
11386,oklahoma,dover,120,40-44,2008,126,50-54
11387,oklahoma,drummond,140,65-69,2008,139,65-69
11388,oklahoma,drumright,320,58,2008,308,55
11389,oklahoma,duke,82,65-69,2008,79,70-74
11390,oklahoma,duncan,1905,67,2008,1845,70
11391,oklahoma,durant,1587,71,2008,1591,67
11392,oklahoma,dustin,65,45-49,2008,68,50-54
11393,oklahoma,eagletown,115,60-64,2008,114,60-64
11394,oklahoma,earlsboro,115,50-54,2008,122,50-54
11395,oklahoma,peavine,114,30-34,2008,113,40-44
11396,oklahoma,edmond,10540,83,2008,10292,83
11397,oklahoma,el reno,1209,50,2008,1194,56
11398,oklahoma,eldorado,70,70-74,2008,59,50-59
11399,oklahoma,elgin,825,75,2008,803,78
11400,oklahoma,elk city,1068,63,2008,1070,66
11401,oklahoma,elmore city-pernell,265,43,2008,264,54
11402,oklahoma,empire,247,53,2008,252,64
11403,oklahoma,enid,3309,63,2008,3161,64
11404,oklahoma,erick,122,60-64,2008,119,50-54
11405,oklahoma,eufaula,653,61,2008,640,72
11406,oklahoma,fairland,285,51,2008,277,60
11407,oklahoma,fairview,318,75,2008,314,77
11408,oklahoma,fanshawe,50,50-59,2008,50,50-59
11409,oklahoma,fargo,113,50-54,2008,113,60-64
11410,oklahoma,farris,32,20-29,2008,32,30-39
11411,oklahoma,felt,31,70-79,2008,27,60-79
11412,oklahoma,fletcher,250,58,2008,250,61
11413,oklahoma,flower mound,114,55-59,2008,114,65-69
11414,oklahoma,forest grove,53,40-49,2008,53,40-49
11415,oklahoma,forgan,82,70-74,2008,81,75-79
11416,oklahoma,fort gibson,999,83,2008,925,79
11417,oklahoma,fort supply,74,55-59,2008,68,50-54
11418,oklahoma,fox,151,50-54,2008,152,55-59
11419,oklahoma,foyil,398,46,2008,365,51
11420,oklahoma,frederick,452,55,2008,443,58
11421,oklahoma,freedom,42,60-69,2008,46,60-69
11422,oklahoma,friend,118,50-54,2008,118,60-64
11423,oklahoma,frink-chambers,244,65,2008,241,73
11424,oklahoma,fort towson,234,55,2008,211,55
11425,oklahoma,gage,56,40-49,2008,58,50-59
11426,oklahoma,gans,199,65-69,2008,178,65-69
11427,oklahoma,garber,191,65-69,2008,192,65-69
11428,oklahoma,geary,180,50-54,2008,187,45-49
11429,oklahoma,geronimo,166,55-59,2008,175,60-64
11430,oklahoma,glencoe,168,55-59,2008,173,60-64
11431,oklahoma,glenpool,1200,65,2008,1191,68
11432,oklahoma,glover,62,50-54,2008,62,45-49
11433,oklahoma,goodland,46,40-49,2008,46,40-49
11434,oklahoma,goodwell,111,70-74,2008,109,70-74
11435,oklahoma,gore,297,60,2008,289,59
11436,oklahoma,gracemont,86,70-74,2008,83,55-59
11437,oklahoma,graham,53,50-59,2008,68,55-59
11438,oklahoma,grandfield,138,40-44,2008,134,50-54
11439,oklahoma,grand view,208,45,2008,206,55
11440,oklahoma,grandview,58,50-59,2008,58,50-59
11441,oklahoma,granite,124,70-74,2008,116,65-69
11442,oklahoma,grant,57,30-39,2008,57,40-49
11443,oklahoma,greenville,54,60-69,2008,54,50-59
11444,oklahoma,grove,261,78,2008,246,74
11445,oklahoma,grove,1233,74,2008,1222,74
11446,oklahoma,guthrie,1706,64,2008,1697,65
11447,oklahoma,guymon,1311,64,2008,1246,59
11448,oklahoma,gypsy,66,45-49,2008,66,55-59
11449,oklahoma,haileyville,237,51,2008,234,55
11450,oklahoma,hammon,117,65-69,2008,118,55-59
11451,oklahoma,hanna,29,40-59,2008,30,21-39
11452,oklahoma,hardesty,45,50-59,2008,43,50-59
11453,oklahoma,harmony,129,70-74,2008,130,70-74
11454,oklahoma,harrah,1173,55,2008,1146,71
11455,oklahoma,hartshorne,359,67,2008,361,57
11456,oklahoma,haskell,432,58,2008,438,61
11457,oklahoma,haworth,303,53,2008,307,62
11458,oklahoma,haywood,52,50-59,2008,51,40-49
11459,oklahoma,healdton,274,49,2008,272,55
11460,oklahoma,heavener,466,56,2008,483,59
11461,oklahoma,hennessey,399,65,2008,410,62
11462,oklahoma,henryetta,640,61,2008,625,60
11463,oklahoma,hilldale,960,68,2008,910,67
11464,oklahoma,hinton,335,65,2008,335,70
11465,oklahoma,midway,98,,2008,100,75-79
11466,oklahoma,hobart,408,61,2008,406,66
11467,oklahoma,hodgen,165,60-64,2008,166,60-64
11468,oklahoma,holdenville,579,51,2008,577,59
11469,oklahoma,skelly,44,30-39,2008,44,40-49
11470,oklahoma,hollis,248,67,2008,252,60
11471,oklahoma,holly creek,133,60-64,2008,133,65-69
11472,oklahoma,hominy,301,61,2008,301,53
11473,oklahoma,hooker,273,55,2008,271,56
11474,oklahoma,howe,207,61,2008,210,65
11475,oklahoma,hugo,600,56,2008,600,58
11476,oklahoma,hulbert,314,39,2008,304,49
11477,oklahoma,idabel,738,50,2008,657,56
11478,oklahoma,indiahoma,130,60-64,2008,126,60-64
11479,oklahoma,indianola,131,45-49,2008,135,50-54
11480,oklahoma,inola,660,67,2008,645,67
11481,oklahoma,jay,866,51,2008,855,53
11482,oklahoma,jenks,5326,80,2008,5171,77
11483,oklahoma,jennings,94,35-39,2008,95,50-54
11484,oklahoma,jones,586,63,2008,586,63
11485,oklahoma,justice,106,45-49,2008,108,50-54
11486,oklahoma,justus-tiawah,354,68,2008,335,69
11487,oklahoma,kansas,453,57,2008,439,59
11488,oklahoma,kellyville,625,55,2008,601,58
11489,oklahoma,kenwood,72,15-19,2008,73,25-29
11490,oklahoma,keota,230,47,2008,222,49
11491,oklahoma,ketchum,338,61,2008,322,66
11492,oklahoma,keyes,39,50-59,2008,38,40-49
11493,oklahoma,keystone,270,57,2008,270,65
11494,oklahoma,kiefer,189,55-59,2008,181,55-59
11495,oklahoma,kildare,38,60-69,2008,38,50-59
11496,oklahoma,kingfisher,596,77,2008,585,82
11497,oklahoma,kingston,527,66,2008,534,64
11498,oklahoma,kinta,93,55-59,2008,94,65-69
11499,oklahoma,kiowa,156,65-69,2008,160,65-69
11500,oklahoma,konawa,325,53,2008,351,60
11501,oklahoma,krebs,202,62,2008,202,52
11502,oklahoma,kremlin-hillsdale,138,50-54,2008,138,70-74
11503,oklahoma,deer creek-lamont,101,65-69,2008,107,60-64
11504,oklahoma,lane,121,50-54,2008,121,55-59
11505,oklahoma,latta,388,73,2008,389,72
11506,oklahoma,laverne,213,68,2008,231,60
11507,oklahoma,lawton,8262,65,2008,7959,68
11508,oklahoma,le flore,92,35-39,2008,93,35-39
11509,oklahoma,leach,81,40-44,2008,82,45-49
11510,oklahoma,leedey,96,75-79,2008,99,70-74
11511,oklahoma,lexington,518,56,2008,532,55
11512,oklahoma,liberty,180,70-74,2008,170,55-59
11513,oklahoma,liberty,307,51,2008,284,53
11514,oklahoma,lindsay,563,57,2008,551,56
11515,oklahoma,little axe,636,56,2008,616,57
11516,oklahoma,locust grove,786,67,2008,769,67
11517,oklahoma,lone grove,753,71,2008,754,72
11518,oklahoma,lone star,500,76,2008,476,73
11519,oklahoma,lone wolf,46,50-59,2008,46,50-59
11520,oklahoma,lookeba sickles,117,75-79,2008,121,70-74
11521,oklahoma,lowrey,83,65-69,2008,85,60-64
11522,oklahoma,lukfata,201,70,2008,188,70-74
11523,oklahoma,luther,443,51,2008,423,61
11524,oklahoma,macomb,205,56,2008,191,55-59
11525,oklahoma,madill,901,63,2008,899,64
11526,oklahoma,mangum,339,70,2008,340,67
11527,oklahoma,mannford,766,64,2008,774,66
11528,oklahoma,mannsville,46,19-Nov,2008,46,30-39
11529,oklahoma,maple,99,70-74,2008,94,60-64
11530,oklahoma,marble city,80,45-49,2008,80,40-44
11531,oklahoma,marietta,478,49,2008,455,51
11532,oklahoma,marlow,615,65,2008,642,66
11533,oklahoma,maryetta,331,55,2008,332,49
11534,oklahoma,mason,118,40-44,2008,118,50-54
11535,oklahoma,maud,174,35-39,2008,162,40-44
11536,oklahoma,maysville,195,35-39,2008,188,60-64
11537,oklahoma,mccurtain,129,45-49,2008,126,40-44
11538,oklahoma,mcalester,1325,68,2008,1279,66
11539,oklahoma,mccord,94,85-89,2008,94,85-89
11540,oklahoma,mcloud,936,60,2008,920,61
11541,oklahoma,medford,113,75-79,2008,112,75-79
11542,oklahoma,meeker,451,59,2008,418,61
11543,oklahoma,merritt,274,64,2008,277,64
11544,oklahoma,miami,1288,70,2008,1272,69
11545,oklahoma,middleberg,100,55-59,2008,100,70-74
11546,oklahoma,midwest city-del city,7563,68,2008,7302,67
11547,oklahoma,milburn,105,55-59,2008,98,55-59
11548,oklahoma,milfay,26,40-59,2008,26,40-59
11549,oklahoma,mill creek,80,35-39,2008,76,40-44
11550,oklahoma,millwood,521,44,2008,525,38
11551,oklahoma,minco,263,69,2008,268,72
11552,oklahoma,moffett,132,70-74,2008,132,65-69
11553,oklahoma,monroe,62,40-44,2008,62,40-44
11554,oklahoma,moore,11045,78,2008,11012,78
11555,oklahoma,mooreland,243,65,2008,252,70
11556,oklahoma,morris,506,72,2008,505,74
11557,oklahoma,morrison,261,64,2008,244,66
11558,oklahoma,moseley,180,45-49,2008,180,45-49
11559,oklahoma,moss,143,60-64,2008,136,60-64
11560,oklahoma,mounds,364,56,2008,343,56
11561,oklahoma,moyers,77,55-59,2008,73,50-54
11562,oklahoma,muldrow,868,65,2008,881,70
11563,oklahoma,mulhall-orlando,97,85-89,2008,104,85-89
11564,oklahoma,muskogee,3146,58,2008,3083,58
11565,oklahoma,mustang,4436,73,2008,4366,75
11566,oklahoma,sharon-mutual,130,75-79,2008,127,70-74
11567,oklahoma,nashoba,35,19-Nov,2008,35,20-29
11568,oklahoma,navajo,286,82,2008,282,76
11569,oklahoma,new lima,138,50-54,2008,131,50-54
11570,oklahoma,newcastle,799,72,2008,807,70
11571,oklahoma,newkirk,381,62,2008,368,55
11572,oklahoma,ninnekah,223,78,2008,214,68
11573,oklahoma,noble,1564,62,2008,1531,64
11574,oklahoma,norman,6927,77,2008,6888,76
11575,oklahoma,chisholm,483,79,2008,476,80
11576,oklahoma,north rock creek,320,64,2008,308,63
11577,oklahoma,greasy,51,30-39,2008,51,30-39
11578,oklahoma,norwood,98,55-59,2008,98,60-64
11579,oklahoma,nowata,520,63,2008,530,66
11580,oklahoma,oak grove,91,65-69,2008,91,60-64
11581,oklahoma,oakdale,318,81,2008,298,81
11582,oklahoma,oaks-mission,128,55-59,2008,130,50-54
11583,oklahoma,oilton,151,75-79,2008,151,65-69
11584,oklahoma,okarche,126,75-79,2008,130,70-74
11585,oklahoma,okay,277,42,2008,273,56
11586,oklahoma,okeene,168,70-74,2008,167,65-69
11587,oklahoma,oklahoma city,20035,50,2008,19611,51
11588,oklahoma,okmulgee,854,60,2008,861,53
11589,oklahoma,oktaha,342,65,2008,330,61
11590,oklahoma,olive,184,55-59,2008,188,65-69
11591,oklahoma,olustee,76,70-74,2008,78,55-59
11592,oklahoma,lomega,92,75-79,2008,96,75-79
11593,oklahoma,oologah-talala,984,71,2008,970,65
11594,oklahoma,optima,43,60-69,2008,43,40-49
11595,oklahoma,osage,134,45-49,2008,131,45-49
11596,oklahoma,osage hills,109,55-59,2008,105,55-59
11597,oklahoma,owasso,4680,78,2008,4552,79
11598,oklahoma,paden,118,45-49,2008,123,50-54
11599,oklahoma,panama,337,55,2008,352,54
11600,oklahoma,panola,146,50-54,2008,140,50-54
11601,oklahoma,paoli,121,50-54,2008,124,45-49
11602,oklahoma,pauls valley,612,62,2008,619,65
11603,oklahoma,pawhuska,479,58,2008,478,60
11604,oklahoma,pawnee,356,63,2008,346,61
11605,oklahoma,peckham,44,30-39,2008,44,40-49
11606,oklahoma,peggs,145,75-79,2008,145,65-69
11607,oklahoma,perkins-tryon,687,54,2008,665,64
11608,oklahoma,perry,585,60,2008,575,69
11609,oklahoma,picher-cardin,25,,2008,23,21-39
11610,oklahoma,pickett-center,60,50-59,2008,59,60-69
11611,oklahoma,piedmont,1317,76,2008,1296,84
11612,oklahoma,pioneer,189,70-74,2008,189,70-74
11613,oklahoma,pittsburg,104,55-59,2008,104,60-64
11614,oklahoma,plainview,732,82,2008,724,81
11615,oklahoma,plainview,3,,2008,3,
11616,oklahoma,pleasant grove,106,70-74,2008,100,60-64
11617,oklahoma,pleasant grove,53,60-69,2008,53,60-69
11618,oklahoma,pioneer-pleasant vale,286,64,2008,296,66
11619,oklahoma,pocola,404,48,2008,407,59
11620,oklahoma,ponca city,2635,69,2008,2564,69
11621,oklahoma,pond creek-hunter,152,60-64,2008,144,65-69
11622,oklahoma,porum,268,46,2008,269,49
11623,oklahoma,poteau,1146,66,2008,1116,65
11624,oklahoma,prague,529,73,2008,534,72
11625,oklahoma,preston,296,66,2008,291,69
11626,oklahoma,pretty water,136,65-69,2008,132,60-64
11627,oklahoma,prue,163,30-34,2008,149,40-44
11628,oklahoma,pryor,1231,75,2008,1228,77
11629,oklahoma,purcell,715,67,2008,717,69
11630,oklahoma,putnam city,9379,66,2008,9260,66
11631,oklahoma,quapaw,314,42,2008,323,52
11632,oklahoma,quinton,260,54,2008,245,45
11633,oklahoma,caney valley,369,67,2008,360,67
11634,oklahoma,rattan,272,63,2008,276,63
11635,oklahoma,ravia,58,40-49,2008,58,50-59
11636,oklahoma,red oak,106,45-49,2008,113,55-59
11637,oklahoma,reydon,60,70-79,2008,62,85-89
11638,oklahoma,ringling,233,51,2008,219,53
11639,oklahoma,ringwood,184,65-69,2008,188,55-59
11640,oklahoma,ripley,241,76,2008,235,75
11641,oklahoma,riverside,83,60-64,2008,78,55-59
11642,oklahoma,robin hill,85,75-79,2008,85,70-74
11643,oklahoma,rocky mountain,106,90-94,2008,106,75-79
11644,oklahoma,roff,147,50-54,2008,159,60-64
11645,oklahoma,roland,642,58,2008,617,56
11646,oklahoma,rush springs,305,58,2008,303,59
11647,oklahoma,ryal,66,50-54,2008,66,30-34
11648,oklahoma,ryan,122,55-59,2008,120,50-54
11649,oklahoma,south coffeyville,139,50-54,2008,126,50-54
11650,oklahoma,salina,449,55,2008,436,51
11651,oklahoma,sallisaw,1060,69,2008,1060,69
11652,oklahoma,sand springs,2618,69,2008,2567,71
11653,oklahoma,sapulpa,2068,63,2008,2078,65
11654,oklahoma,sasakwa,108,40-44,2008,101,50-54
11655,oklahoma,savanna,170,60-64,2008,162,65-69
11656,oklahoma,sayre,328,73,2008,330,72
11657,oklahoma,schulter,94,50-54,2008,89,40-44
11658,oklahoma,seiling,213,58,2008,215,65
11659,oklahoma,seminole,869,56,2008,818,57
11660,oklahoma,sentinel,165,75-79,2008,171,70-74
11661,oklahoma,sequoyah,793,74,2008,759,72
11662,oklahoma,shady grove,106,70-74,2008,106,70-74
11663,oklahoma,shady point,68,40-44,2008,68,65-69
11664,oklahoma,shattuck,143,60-64,2008,151,55-59
11665,oklahoma,shawnee,1885,70,2008,1887,68
11666,oklahoma,shidler,118,50-54,2008,130,55-59
11667,oklahoma,silo,378,58,2008,351,65
11668,oklahoma,skiatook,1206,64,2008,1207,68
11669,oklahoma,smithville,144,70-74,2008,155,70-74
11670,oklahoma,snyder,252,71,2008,240,71
11671,oklahoma,soper,210,62,2008,206,70
11672,oklahoma,south rock creek,237,67,2008,218,66
11673,oklahoma,spavinaw,65,25-29,2008,64,25-29
11674,oklahoma,sperry,642,64,2008,650,62
11675,oklahoma,spiro,624,53,2008,596,54
11676,oklahoma,springer,125,55-59,2008,122,50-54
11677,oklahoma,sterling,221,60,2008,229,68
11678,oklahoma,stidham,40,30-39,2008,40,50-59
11679,oklahoma,stigler,634,52,2008,638,60
11680,oklahoma,stillwater,2556,76,2008,2508,75
11681,oklahoma,stilwell,578,48,2008,560,52
11682,oklahoma,stonewall,178,55-59,2008,193,50-54
11683,oklahoma,straight,32,50-59,2008,32,50-59
11684,oklahoma,stratford,315,50,2008,322,57
11685,oklahoma,stringtown,87,70-74,2008,82,65-69
11686,oklahoma,strother,190,45-49,2008,186,55-59
11687,oklahoma,stroud,463,59,2008,431,63
11688,oklahoma,stuart,152,45-49,2008,132,55-59
11689,oklahoma,sulphur,701,68,2008,684,64
11690,oklahoma,sweetwater,34,50-59,2008,35,40-49
11691,oklahoma,swink,34,20-29,2008,34,20-29
11692,oklahoma,tahlequah,1645,72,2008,1585,68
11693,oklahoma,talihina,303,57,2008,293,60
11694,oklahoma,taloga,25,60-79,2008,27,
11695,oklahoma,tannehill,130,45-49,2008,130,45-49
11696,oklahoma,tecumseh,1113,64,2008,1080,68
11697,oklahoma,temple,113,55-59,2008,114,65-69
11698,oklahoma,tenkiller,185,65-69,2008,185,70-74
11699,oklahoma,terral,38,20-29,2008,38,30-39
11700,oklahoma,texhoma,149,85-89,2008,142,75-79
11701,oklahoma,thackerville,152,40-44,2008,150,35-39
11702,oklahoma,mountain view-gotebo,108,85-89,2008,101,85-89
11703,oklahoma,tipton,133,40-44,2008,125,45-49
11704,oklahoma,woodland,252,65,2008,224,63
11705,oklahoma,tishomingo,461,60,2008,459,63
11706,oklahoma,tonkawa,395,71,2008,389,69
11707,oklahoma,porter consolidated,267,53,2008,266,49
11708,oklahoma,tulsa,19507,55,2008,19369,54
11709,oklahoma,tupelo,147,50-54,2008,141,45-49
11710,oklahoma,turkey ford,46,50-59,2008,46,60-69
11711,oklahoma,turner,152,55-59,2008,142,65-69
11712,oklahoma,turpin,198,55-59,2008,195,55-59
11713,oklahoma,tushka,228,70,2008,233,74
11714,oklahoma,tuskahoma,49,50-59,2008,49,60-69
11715,oklahoma,tuttle,907,68,2008,880,76
11716,oklahoma,twin hills,176,55-59,2008,175,70-74
11717,oklahoma,tyrone,114,45-49,2008,114,55-59
11718,oklahoma,union,7558,70,2008,7423,68
11719,oklahoma,union city,133,55-59,2008,132,55-59
11720,oklahoma,valliant,525,55,2008,520,60
11721,oklahoma,vanoss,257,73,2008,266,70
11722,oklahoma,varnum,141,60-64,2008,137,60-64
11723,oklahoma,velma-alma,200,50-54,2008,216,52
11724,oklahoma,verden,150,60-64,2008,154,60-64
11725,oklahoma,verdigris,651,70,2008,643,71
11726,oklahoma,vian,537,79,2008,521,72
11727,oklahoma,vici,151,70-74,2008,164,75-79
11728,oklahoma,vinita,850,60,2008,843,61
11729,oklahoma,wagoner,1197,57,2008,1184,59
11730,oklahoma,wainwright,73,60-64,2008,73,60-64
11731,oklahoma,wakita,30,60-79,2008,35,70-79
11732,oklahoma,walters,365,64,2008,364,70
11733,oklahoma,wanette,104,40-44,2008,108,50-54
11734,oklahoma,wapanucka,110,55-59,2008,117,60-64
11735,oklahoma,warner,375,68,2008,369,71
11736,oklahoma,washita heights,50,70-79,2008,52,60-69
11737,oklahoma,washington,474,62,2008,463,68
11738,oklahoma,watonga,380,61,2008,376,73
11739,oklahoma,watson,22,40-59,2008,22,40-59
11740,oklahoma,watts,192,50-54,2008,183,45-49
11741,oklahoma,waukomis,164,60-64,2008,169,65-69
11742,oklahoma,waurika,211,56,2008,209,66
11743,oklahoma,wayne,242,48,2008,230,51
11744,oklahoma,waynoka,109,75-79,2008,103,75-79
11745,oklahoma,weatherford,860,80,2008,871,81
11746,oklahoma,webbers falls,132,40-44,2008,127,50-54
11747,oklahoma,welch,196,65-69,2008,198,70-74
11748,oklahoma,weleetka,218,48,2008,214,61
11749,oklahoma,wellston,362,56,2008,357,61
11750,oklahoma,western heights,1700,47,2008,1642,48
11751,oklahoma,westville,553,54,2008,556,56
11752,oklahoma,wetumka,219,38,2008,216,46
11753,oklahoma,wewoka,325,54,2008,353,51
11754,oklahoma,white oak,57,40-49,2008,65,45-49
11755,oklahoma,white rock,72,60-64,2008,72,60-64
11756,oklahoma,whitebead,258,62,2008,246,64
11757,oklahoma,whitefield,51,50-59,2008,51,50-59
11758,oklahoma,whitesboro,104,80-84,2008,98,75-79
11759,oklahoma,wickliffe,74,60-64,2008,73,50-54
11760,oklahoma,wilburton,531,57,2008,537,60
11761,oklahoma,wilson,153,45-49,2008,147,50-54
